method	exam	+/-	exam-std	n-exam	+/-	n-exam-std	orig_TREC_leaderboard_rank	orig_EXAM_leaderboard_rank
_overall_	0.900	+/-	0.016	1.000	+/-	0.000	 	 
TUW19-p3-f	0.726	+/-	0.031	0.800	+/-	0.028	13.000	 
srchvrs_ps_run3	0.716	+/-	0.029	0.795	+/-	0.027	24.000	 
TUW19-p2-f	0.714	+/-	0.027	0.790	+/-	0.024	17.000	 
TUW19-p1-f	0.716	+/-	0.031	0.789	+/-	0.028	14.000	 
srchvrs_ps_run2	0.712	+/-	0.031	0.783	+/-	0.029	19.000	 
idst_bert_p2	0.707	+/-	0.031	0.779	+/-	0.028	2.000	 
idst_bert_p3	0.707	+/-	0.032	0.779	+/-	0.029	3.000	 
idst_bert_p1	0.702	+/-	0.031	0.774	+/-	0.028	1.000	 
p_exp_bert	0.700	+/-	0.032	0.770	+/-	0.030	8.000	 
p_exp_rm3_bert	0.700	+/-	0.031	0.770	+/-	0.029	4.000	 
TUW19-p2-re	0.695	+/-	0.030	0.770	+/-	0.027	20.000	 
runid3	0.695	+/-	0.033	0.766	+/-	0.031	12.000	 
idst_bert_pr2	0.695	+/-	0.032	0.765	+/-	0.029	6.000	 
p_bert	0.695	+/-	0.031	0.765	+/-	0.029	5.000	 
ICT-CKNRM_B50	0.693	+/-	0.034	0.764	+/-	0.032	23.000	 
ICT-CKNRM_B	0.686	+/-	0.030	0.761	+/-	0.029	21.000	 
ICT-BERT2	0.686	+/-	0.030	0.761	+/-	0.029	18.000	 
runid4	0.691	+/-	0.034	0.761	+/-	0.032	11.000	 
TUW19-p3-re	0.688	+/-	0.034	0.759	+/-	0.032	15.000	 
idst_bert_pr1	0.688	+/-	0.033	0.759	+/-	0.031	7.000	 
srchvrs_ps_run1	0.681	+/-	0.031	0.756	+/-	0.030	34.000	 
TUW19-p1-re	0.686	+/-	0.034	0.755	+/-	0.032	16.000	 
ms_duet_passage	0.684	+/-	0.035	0.754	+/-	0.034	22.000	 
TUA1-1	0.684	+/-	0.032	0.752	+/-	0.030	10.000	 
test1	0.684	+/-	0.032	0.752	+/-	0.030	9.000	 
runid5	0.681	+/-	0.034	0.751	+/-	0.032	30.000	 
bm25base_p	0.677	+/-	0.032	0.748	+/-	0.030	33.000	 
runid2	0.674	+/-	0.034	0.744	+/-	0.032	29.000	 
bm25base_ax_p	0.667	+/-	0.031	0.738	+/-	0.030	26.000	 
bm25tuned_ax_p	0.665	+/-	0.032	0.735	+/-	0.030	27.000	 
bm25tuned_prf_p	0.665	+/-	0.035	0.734	+/-	0.033	25.000	 
bm25tuned_p	0.663	+/-	0.031	0.733	+/-	0.030	35.000	 
bm25base_prf_p	0.660	+/-	0.035	0.728	+/-	0.035	28.000	 
bm25tuned_rm3_p	0.658	+/-	0.034	0.727	+/-	0.033	31.000	 
bm25base_rm3_p	0.658	+/-	0.036	0.726	+/-	0.036	32.000	 
UNH_bm25	0.647	+/-	0.037	0.710	+/-	0.036	36.000	 
UNH_exDL_bm25	0.188	+/-	0.047	0.196	+/-	0.048	 	 
 EXAM scores produced with GradeFilter(model_name=None, prompt_class='QuestionSelfRatedUnanswerablePromptWithChoices', is_self_rated=None, min_self_rating=None, question_set='question-bank')
 min_rating	3
 nExam	spearman_correlation =0.67	kendall_correlation = 0.48
 exam	spearman_correlation =0.72	kendall_correlation = 0.54



